"yr","country","beds","physicians","population","health_spend","mortality"
2022,"Barbados",0,2.965,282318,0,101.193
2019,"Belarus",0,4.434,9419758,11072628593.98,0
2020,"Belarus",0,4.47,9379952,14304651090.91,0
2020,"Belgium",0,3.208,11538604,79603600000,65.053
2022,"Benin",0,0.195,13759501,0,274.397
2019,"Bhutan",0,0.335,764824,0,137.308
2020,"Bhutan",0,0.484,770006,0,134.5825
2021,"Bhutan",0,0.56,775442,0,131.9795
2022,"Bhutan",0,0.552,780914,0,129.63
2020,"Bolivia",0,0.952,11816299,0,253.685
2020,"Botswana",0,0.402,2365894,0,246.773
2022,"Botswana",0,0.378,2439892,0,249.6075
2021,"Brunei Darussalam",0,1.913,451721,0,118.076
2020,"Bulgaria",0,4.249,6550696,12606959000,150.637
2022,"Bulgaria",0,4.896,6465097,16709974000,0
2019,"Burkina Faso",0,0.091,20961952,0,262.313
2020,"Burkina Faso",0,0.096,21478690,0,271.3835
2021,"Burkina Faso",0,0.101,21995243,0,285.4785
2022,"Burkina Faso",0,0.147,22509038,0,279.521
2020,"Burundi",0,0.07,12617036,0,279.8625
2021,"Burundi",0,0.065,12965481,0,280.2325
2020,"Cameroon",0,0.097,26210558,0,297.1735
2022,"Cameroon",0,0.135,27632771,0,301.9725
2020,"Canada",0,2.433,38028638,2.12766e+11,74.065
2022,"Canada",0,2.497,38935934,2.39695e+11,0
2020,"Caribbean small states",0,2.16912435763455,4459302,0,175.172321656
2021,"Central African Republic",0,0.021,5112100,0,425.3465
2020,"Central Electricity Board (CEB)",0,3.65722095098962,101215763,0,0
2019,"Chad",0,0.053,16685223,0,362.0845
2020,"Chad",0,0.06,17224679,0,376.668
2021,"Chad",0,0.058,17828273,0,387.7775
2022,"Chad",0,0.085,18455316,0,383.1085
2020,"Chile",0,2.808,19370624,0,87.3675
2022,"Chile",0,3.17,19553036,0,90.9905
2020,"China",0,2.387,1411100000,7460357310000,82.425
2020,"Colombia",0,2.379,50629997,0,126.74
2020,"Comoros",0,0.439,802163,0,224.591
2019,"Congo, Dem. Rep.",0,0.167,92947442,0,269.8105
2021,"Congo, Dem. Rep.",0,0.177,99148932,0,295.6085
2022,"Congo, Dem. Rep.",0,0.187,102396968,0,289.0465
2022,"Congo, Rep.",0,0.175,6035104,0,287.485
2020,"Costa Rica",0,2.451,5034320,2186577327735.1,81.635
2022,"Costa Rica",0,2.636,5081765,2.687538e+12,97.5915
2020,"Cote d'Ivoire",0,0.165,28915449,0,342.679
2022,"Cote d'Ivoire",0,0.175,30395002,0,347.88
2020,"Croatia",0,6.959,3914206,7260125000,74.934
2019,"Cuba",0,8.589,11202846,0,103.2425
2020,"Cuba",0,9.188,11176354,0,101.889
2021,"Cuba",0,9.429,11122168,0,140.837
2020,"Cyprus",0,3.364,1302247,2022500000,55.2925
2020,"Czechia",0,4.16,10697858,1.009532e+12,83.443
2020,"Denmark",0,4.381,5831404,4.11376e+11,57.5295
2020,"Dominican Republic",0,1.949,11008300,0,150.6845
2022,"Dominican Republic",0,2.235,11230734,0,140.774
2020,"Early-demographic dividend",0,0.998465558935349,3396051187,0,172.16439111275
2020,"East Asia & Pacific",0,2.05962381656681,2369438682,0,102.0669115645
2020,"East Asia & Pacific (IDA & IBRD)",0,1.96615076034968,2095759417,0,106.73810111735
2020,"East Asia & Pacific (excluding high income)",0,1.98716273054109,2121866294,0,107.20300337605
2020,"Ecuador",0,2.308,17546065,0,163.7765
2020,"Egypt, Arab Rep.",0,0.683,109315124,0,145.446
2022,"El Salvador",0,1.552,6280319,3.268e+09,206.2485
2022,"Equatorial Guinea",0,0.143,1803545,0,278.706
2019,"Eritrea",0,0.071,3240194,0,202.4495
2020,"Eritrea",0,0.082,3291271,0,203.139
2021,"Eritrea",0,0.079,3350183,0,213.3695
2022,"Eritrea",0,0.071,3409447,0,212.548
2020,"Estonia",0,3.48,1329522,3737100000,0
2020,"Eswatini",0,0.14,1192729,0,392.813
2022,"Eswatini",0,1.591,1218917,0,457.785
2019,"Ethiopia",0,0.051,115737383,0,213.5235
2020,"Ethiopia",0,0.104,118917671,0,219.31
2021,"Ethiopia",0,0.101,122138588,0,227.1835
2022,"Ethiopia",0,0.108,125384287,0,219.3955
2020,"Euro area",0,4.23225293185916,346986142,0,62.89847244545
2020,"Europe & Central Asia",0,3.68423718519582,923973838,0,94.9732418791
2020,"Europe & Central Asia (IDA & IBRD)",0,3.2425107501823,463151657,0,0
2020,"Europe & Central Asia (excluding high income)",0,2.71782043003932,250660609,0,144.39654639875
2020,"European Union",0,4.12265415236348,446870959,0,68.59304379935
2020,"Finland",0,3.611,5529543,3.5701e+10,67.129
2020,"Fragile and conflict affected situations",0,0.399781519275678,994901090,0,260.96084571015
2020,"France",0,3.323,67601110,4.06052e+11,69.8995
2019,"Gabon",0,0.61,2267706,0,229.7835
2020,"Gabon",0,0.594,2322539,0,225.87
2022,"Gabon",0,0.477,2430747,0,240.526
2019,"Gambia, The",0,0.075,2456844,0,247.1325
2020,"Gambia, The",0,0.076,2515733,0,266.209
2021,"Gambia, The",0,0.102,2576010,0,278.466
2020,"Georgia",0,5.161,3722716,1882100000,151.802
2022,"Georgia",0,5.613,3712502,2224800000,169.7355
2020,"Germany",0,4.459,83160871,5.74522e+11,65.6
2020,"Ghana",0,0.164,31887809,0,245.6555
