"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Serbia",5.61,0,6.587202,0,0
2021,"Serbia",5.61,2.837,6.834326,0,106.9275
2019,"Serbia",5.59,0,6.945235,0,91.537
2024,"Singapore",2.49,0,6.03686,0,0
2021,"Singapore",2.49,2.596,5.453566,17927.18282491,44.7245
2019,"Singapore",2.48,2.434,5.703569,11304.09918486,44.3405
2024,"Slovak Republic",5.7,0,5.422069,0,0
2021,"Slovak Republic",5.7,3.68,5.447247,13459.549,0
2019,"Slovak Republic",5.78,3.567,5.454147,10672.285,101
2024,"Slovenia",4.43,0,2.126324,0,0
2021,"Slovenia",4.43,3.326,2.108079,8549.734,0
2019,"Slovenia",4.49,3.224,2.088385,6562.995,62.953
2024,"South Africa",2.3,0,64.007187,0,0
2021,"South Africa",2.3,0.809,61.502603,551898.154,347.129
2019,"South Africa",2.3,0.799,59.587885,479638.06,288.9685
2024,"Spain",2.97,0,48.807137,0,0
2021,"Spain",2.97,4.48,47.443821,171189,54.2805
2019,"Spain",2.97,4.404,47.118501,146351,52.688
2024,"Sri Lanka",4.15,0,21.916,0,0
2021,"Sri Lanka",4.15,1.192,22.156,0,103.8195
2019,"Sri Lanka",4.15,1.137,21.803,0,113.0445
2024,"Sweden",2.14,0,10.569709,0,0
2021,"Sweden",2.14,0,10.415811,797119,47.9475
2019,"Sweden",2.34,4.291,10.278887,707644,47.9345
2024,"Switzerland",4.63,0,9.034102,0,0
2021,"Switzerland",4.63,4.443,8.704546,38208.70282668,44.936
2019,"Switzerland",4.69,4.35,8.57528,31362.32902461,43.4165
2024,"Tajikistan",4.67,0,10.590927,0,0
2021,"Tajikistan",4.67,2.133,9.966908,4894.632351,135.069
2019,"Tajikistan",4.67,2.064,9.529966,0,145.097
2024,"Tanzania",0.7,0,68.560157,0,0
2021,"Tanzania",0.7,0,62.830412,0,222.5495
2019,"Tanzania",0.7,0,59.174891,0,211.5715
2024,"Thailand",2.1,0,71.668011,0,0
2021,"Thailand",2.1,0,71.727332,289706.723144991,120.4865
2019,"Thailand",2.1,0.897,71.522271,219088.29039087,125.6155
2024,"Trinidad and Tobago",3.02,0,1.368333,0,0
2021,"Trinidad and Tobago",3.02,3.412,1.367558,0,163.907
2019,"Trinidad and Tobago",3.03,4.108,1.363985,0,153.7595
2024,"Tunisia",2.18,0,12.277109,0,0
2021,"Tunisia",2.18,1.292,12.048622,0,113.234
2019,"Tunisia",2.18,1.28,11.875081,0,93.999
2024,"Turkiye",2.85,0,85.518661,0,0
2021,"Turkiye",2.85,2.165,84.147318,552949.077352282,92.413
2019,"Turkiye",2.75,1.926,82.57944,356791.554708335,79.539
2024,"United Arab Emirates",1.38,0,10.876981,0,0
2021,"United Arab Emirates",1.38,2.912,9.575152,0,59.6185
2019,"United Arab Emirates",1.36,2.759,9.445785,0,56.2525
2024,"United Kingdom",2.46,0,69.226,0,0
2021,"United Kingdom",2.46,3.171,66.984,229411,79.0265
2019,"United Kingdom",2.54,2.942,66.631,174579,69.4785
2024,"United States",2.87,0,340.110988,0,0
2021,"United States",2.87,3.608,332.09976,3616915,142.265
2019,"United States",2.77,3.518,330.226227,3035039,108.1425
2024,"Uruguay",2.43,0,3.386588,0,0
2021,"Uruguay",2.43,4.508,3.396695,0,133.7385
2019,"Uruguay",2.48,0,3.397206,0,112.677
2024,"Uzbekistan",3.98,0,36.361859,0,0
2021,"Uzbekistan",3.98,2.805,34.243696,40708807.372128,162.254
2019,"Uzbekistan",3.98,2.788,32.964701,24457632.75043,157.201
2024,"Venezuela, RB",0.87,0,28.405543,0,0
2021,"Venezuela, RB",0.87,0,28.237826,0,182.007
2019,"Venezuela, RB",0.86,0,28.938098,0,164.136
2024,"Viet Nam",2.6,0,100.987686,0,0
2021,"Viet Nam",2.6,0,98.935098,0,130.7755
2019,"Viet Nam",2.6,0,97.173776,0,131.8035
2024,"Zambia",2,0,21.314956,0,0
2021,"Zambia",2,0.297,19.603607,0,309.43
2019,"Zambia",2,0.239,18.513839,0,270.4755
2024,"Zimbabwe",1.7,0,16.634373,0,0
2021,"Zimbabwe",1.7,0,15.79721,0,391.3025
2019,"Zimbabwe",1.7,0,15.271368,0,351.716
2024,"Low income",0.9453,0,624.608098,0,0
2021,"Low income",0.9453,0,576.076618,0,259.8249932102
2019,"Low income",0.9453,0,544.980983,0,241.524527758
2024,"Upper middle income",2.98314285714286,0,2818.128105,0,0
2021,"Upper middle income",2.98314285714286,0,2796.326198,0,125.40208516875
2019,"Upper middle income",2.95,0,2770.250954,0,109.17622220925
2024,"Lower middle income",1.74156862745098,0,3120.983658,0,0
2021,"Lower middle income",1.74156862745098,0,3006.243027,0,216.42753774055
2019,"Lower middle income",1.71480392156863,0,2928.617292,0,181.3618749051
2024,"High income",4.25413043478261,0,1417.871275,0,0
2021,"High income",4.25413043478261,0,1391.839631,0,93.869322497
2019,"High income",4.31869565217391,0,1389.779202,0,77.3819177915
2019,"Afghanistan",0,0.214,37.856121,0,248.0145
2020,"Afghanistan",0,0.254,39.068979,0,264.32
2020,"Africa Eastern and Southern",0,0.2181326840624,694.4461,0,267.8586272484
2020,"Africa Western and Central",0,0.249438422939791,474.569351,0,317.38854076955
2020,"Albania",0,1.883,2.837849,75970.46,85.409
2022,"Angola",0,0.244,35.635029,0,273.262
2020,"Arab World",0,1.15456481502405,453.723239,0,142.07334426225
2020,"Argentina",0,3.895,45.191965,81410.89457584,117.664
2022,"Argentina",0,4.082,45.407904,196885.83728623,113.6055
2020,"Australia",0,3.906,25.649248,237469,57.335
2020,"Austria",0,5.324,8.916864,75603.4,0
2022,"Austria",0,5.508,9.041851,88063.22,0
2020,"Azerbaijan",0,3.093,10.093121,1705.7,234.25
2020,"Bangladesh",0,0.656,166.298024,0,136.6625
2020,"Barbados",0,2.626,0.281698,0,105.659
2022,"Barbados",0,2.965,0.282318,0,101.193
2019,"Belarus",0,4.434,9.419758,11072.62859398,0
2020,"Belarus",0,4.47,9.379952,14304.65109091,0
2020,"Belgium",0,3.208,11.538604,79603.6,65.053
2022,"Benin",0,0.195,13.759501,0,274.397
2019,"Bhutan",0,0.335,0.764824,0,137.308
2020,"Bhutan",0,0.484,0.770006,0,134.5825
2021,"Bhutan",0,0.56,0.775442,0,131.9795
2022,"Bhutan",0,0.552,0.780914,0,129.63
2020,"Bolivia",0,0.952,11.816299,0,253.685
2020,"Botswana",0,0.402,2.365894,0,246.773
2022,"Botswana",0,0.378,2.439892,0,249.6075
2021,"Brunei Darussalam",0,1.913,0.451721,0,118.076
2020,"Bulgaria",0,4.249,6.550696,12606.959,150.637
2022,"Bulgaria",0,4.896,6.465097,16709.974,0
2019,"Burkina Faso",0,0.091,20.961952,0,262.313
2020,"Burkina Faso",0,0.096,21.47869,0,271.3835
2021,"Burkina Faso",0,0.101,21.995243,0,285.4785
2022,"Burkina Faso",0,0.147,22.509038,0,279.521
2020,"Burundi",0,0.07,12.617036,0,279.8625
2021,"Burundi",0,0.065,12.965481,0,280.2325
2020,"Cameroon",0,0.097,26.210558,0,297.1735
2022,"Cameroon",0,0.135,27.632771,0,301.9725
2020,"Canada",0,2.433,38.028638,212766,74.065
2022,"Canada",0,2.497,38.935934,239695,0
2020,"Caribbean small states",0,2.16912435763455,4.459302,0,175.172321656
2021,"Central African Republic",0,0.021,5.1121,0,425.3465
2020,"Central Electricity Board (CEB)",0,3.65722095098962,101.215763,0,0
2019,"Chad",0,0.053,16.685223,0,362.0845
2020,"Chad",0,0.06,17.224679,0,376.668
